created_at,shop_id,stars,content,reviewDate,experienceDate,author,order,product_id,img
2025-06-14,3,5,"Commande reçue rapidement, défroisseur portatif vraiment pratique ! Fini les plis sur mes chemisiers. Service client top, livraison express respectée.","14/06/2025","02/06/2025","Marie L.",1,,
2025-06-13,3,5,"Super contente de mon éliminateur de peluches ! mes pulls retrouvent une seconde jeunesse. Facile à utiliser et efficace.","13/06/2025","05/06/2025","Sophie M.",2,,
2025-06-12,3,4,"Défroisseur correct, fait le travail. un peu petit mais pratique pour voyager","12/06/2025","28/05/2025","Catherine R.",3,,
2025-06-11,3,5,"Excellent ! Le nettoyeur vapeur est impressionnant, nettoie vraiment en profondeur. Mes carreaux de salle de bain n'ont jamais été aussi propres.","11/06/2025","20/05/2025","Isabelle D.",4,,
2025-06-10,3,5,"J'adore ! éliminateur de peluches tres efficace, mes canapés sont comme neufs. Livraison rapide et emballage soigné.","10/06/2025","01/06/2025","Françoise B.",5,,
2025-06-09,3,4,"Bon produit dans l'ensemble. Le défroisseur chauffe vite et fait bien son boulot. Quelques goutelettes d'eau parfois mais rien de grave.","09/06/2025","25/05/2025","Annie P.",6,,
2025-06-08,3,5,"Parfait pour mes besoins ! Le service après-vente m'a aidée quand j'avais une question. Vraiment professionnel.","08/06/2025","18/05/2025","Martine G.",7,,
2025-06-07,3,5,"Super site, livraison ultra rapide ! Mon nettoyeur vapeur est arrivé en 2 jours. Très satisfaite de mon achat.","07/06/2025","30/05/2025","Nicole T.",8,,
2025-06-06,3,4,"bien mais la notice pourrait être plus claire. sinon le produit fonctionne bien","06/06/2025","22/05/2025","Chantal V.",9,,
2025-06-05,3,5,"Wedinery c'est du sérieux ! Produits de qualité, service impeccable. Je recommande vivement.","05/06/2025","15/05/2025","Brigitte H.",10,,
2025-06-04,3,5,"Mon éliminateur de peluches fait des miracles ! Mes vêtements retrouvent leur aspect neuf. Merci Wedinery !","04/06/2025","12/05/2025","Véronique K.",11,,
2025-06-03,3,4,"Défroisseur pratique, compact comme annoncé. Parfait pour les voyages d'affaires.","03/06/2025","19/05/2025","Sylvie N.",12,,
2025-06-02,3,5,"Excellent achat ! Le nettoyeur vapeur décrasse tout sans produits chimiques. Écologique et efficace !","02/06/2025","08/05/2025","Monique J.",13,,
2025-06-01,3,5,"Service client au top ! Ils ont répondu à toutes mes questions avant l'achat. Très professionnel.","01/06/2025","14/05/2025","Jacqueline F.",14,,
